Herbicide.x,Population,PercF,AvegGA,PPO,Herbicide.y,PercL
Fomesafen,Cha 3,35,12,No,Lactofen,15.000000000000002
Fomesafen,Dun 3,27.500000000000004,1,Yes,Lactofen,7.5
Fomesafen,Dun 4,17.5,6,No,Lactofen,10
Fomesafen,Dun 5,15,24,Yes,Lactofen,0
Fomesafen,Hay 1,37.5,1,Yes,Lactofen,22.499999999999996
Fomesafen,Hay 3,32.49999999999999,2,Yes,Lactofen,5
Fomesafen,Hay 4,27.500000000000004,1,Yes,Lactofen,10
Fomesafen,Kei 2,22.5,12,Yes,Lactofen,0
Fomesafen,Kei 3,37.5,1,No,Lactofen,12.5
Fomesafen,Kei 5,27.500000000000004,7,Yes,Lactofen,0
Fomesafen,Kei 6,27.500000000000004,17,No,Lactofen,17.5
Fomesafen,Log 1,22.499999999999996,50,Yes,Lactofen,5
Fomesafen,Log 2,17.5,1,No,Lactofen,0
Fomesafen,Log 4,27.500000000000004,5,Yes,Lactofen,0
Fomesafen,Per 2,15.000000000000002,39,No,Lactofen,30.000000000000004
Fomesafen,Per 4,25,14,No,Lactofen,10
Fomesafen,Red 2,30,3,Yes,Lactofen,15
Fomesafen,Red 4,40,5,Yes,Lactofen,12.5
Fomesafen,Red 5,12.5,1,No,Lactofen,7.5
