sample,mean,min,max
Cha 1,5.2,0,23
Cha 2,1.4,1,3
Cha 3,9.4,1,15
Cha 4,9.6,1,26
Cha 5,1,1,1
Dun 1,5.2,1,18
Dun 2,1,1,1
Dun 3,1,1,1
Dun 4,6.6,4,10
Dun 5,24.4,4,51
Fro 1,6,3,10
Fro 2,2.6666666666666665,1,6
Fro 3,4.666666666666667,1,11
Fro 4,1,1,1
Fro 5,1.2,1,2
Hay 1,1,1,1
Hay 2,1.6666666666666667,1,3
Hay 3,1.6666666666666667,1,2
Hay 4,1,1,1
Hay 5,0.8,0,1
Hit 1,4.8,1,20
Hit 2,20.333333333333332,1,57
Hit 3,2.6666666666666665,1,6
Hit 4,1.4,0,3
Hit 5,1,1,1
Kei 1,13.333333333333334,1,38
Kei 2,12.333333333333334,7,19
Kei 3,1,1,1
Kei 4,7.4,1,18
Kei 5,5,1,8
Kei 6,17.2,2,40
Lin 1,1.3333333333333333,1,2
Lin 2,5,3,6
Lin 3,3.6666666666666665,1,6
Lin 4,3,1,6
Lin 5,1,1,1
Log 1,34,2,57
Log 2,1,1,1
Log 3,4,1,7
Log 4,3.3333333333333335,1,6
Per 1,1,1,1
Per 2,31.6,1,59
Per 3,1,1,1
Per 4,10,1,22
Per 5,1.3333333333333333,1,2
Per 6,1.3333333333333333,1,2
Red 1,1.6666666666666667,1,3
Red 2,1.6666666666666667,1,3
Red 3,2,1,6
Red 4,2.3333333333333335,1,5
Red 5,1.2,1,2
